,main_demand,ramp_demand,scenario,policy,model,meanDensity,meanFlow,meanSpeed,meanTravelTime,laneChangesToRightBeforeRamp,laneChangesToRightOnRamp,laneChangesToRightAfterRamp,laneChangesToLeftBeforeRamp,laneChangesToLeftOnRamp,laneChangesToLeftAfterRamp,meanHeadwayTime,meanHeadwayDistance
0,3499.354034435646,971.4257407116002,0,Policy 1,VehicleAutomationModel,0.0258917255273147,0.4559020154927028,19.296740783097505,87.46910829665492,14,9,23,14,78,0,,
1,5925.58895555021,911.335126489337,1,Policy 1,VehicleAutomationModel,0.029661211793614,0.434481835985765,16.626435429917947,100.81315624096328,4,3,27,2,81,0,,
2,3930.7650357655457,819.9512534804358,2,Policy 1,VehicleAutomationModel,0.0256618377988664,0.4565310908611409,19.56103088260797,89.71436016295868,4,2,12,14,76,0,,
3,1368.728138091942,861.2012030894105,3,Policy 1,VehicleAutomationModel,0.0128984483123169,0.388273112662768,29.704822008387872,60.17517350062429,36,7,18,47,113,0,2.06766891748762,58.962049027366064
4,3499.354034435646,971.4257407116002,0,Policy 2,VehicleAutomationModel,0.0267822308833036,0.4375615626691812,18.568769289300096,90.03356471011871,16,4,19,9,80,0,,
5,5925.58895555021,911.335126489337,1,Policy 2,VehicleAutomationModel,0.0275250847098022,0.4433589949076085,17.76350224060502,97.54817999870184,8,7,5,11,96,0,,
6,3930.7650357655457,819.9512534804358,2,Policy 2,VehicleAutomationModel,0.0304516906398743,0.4215175611199512,16.385290224537624,99.01295833590017,5,4,21,6,74,0,,
7,1368.728138091942,861.2012030894105,3,Policy 2,VehicleAutomationModel,0.012404332503277,0.3756195960688924,29.816056070430125,59.62805173437756,55,13,16,80,112,0,2.0501231163608438,58.78778354946727
8,3499.354034435646,971.4257407116002,0,Policy 3,VehicleAutomationModel,0.0294458527832943,0.3783436025396204,16.276950083547483,79.52241158544872,7,3,3,10,114,1,,
9,5925.58895555021,911.335126489337,1,Policy 3,VehicleAutomationModel,0.0273432665794655,0.4444685970409722,18.02303507535762,93.40956613199786,3,8,11,11,99,0,,
10,3930.7650357655457,819.9512534804358,2,Policy 3,VehicleAutomationModel,0.0243290226202417,0.4579420461401373,20.09487968275482,89.15617419779936,7,3,8,7,74,0,,
11,1368.728138091942,861.2012030894105,3,Policy 3,VehicleAutomationModel,0.0125112651796988,0.3855287534164709,30.394611132359376,59.14559440349193,62,14,21,70,110,0,2.010704138229252,58.3312347785405
12,3499.354034435646,971.4257407116002,0,Policy 4,VehicleAutomationModel,0.0303036877530915,0.4073332685032896,16.151279465854067,103.01003597442458,8,21,18,10,92,0,,
13,5925.58895555021,911.335126489337,1,Policy 4,VehicleAutomationModel,0.0309853171240138,0.3940634080519734,15.341936488091196,108.68067574331738,29,50,18,24,124,2,,
14,3930.7650357655457,819.9512534804358,2,Policy 4,VehicleAutomationModel,0.0256880458927562,0.434736716037527,19.245633032716043,86.81792767578074,4,10,5,5,76,0,,
15,1368.728138091942,861.2012030894105,3,Policy 4,VehicleAutomationModel,0.012709747248299,0.3900284508849173,30.275845247885176,59.26679047858896,83,18,6,85,131,0,1.6360451058350742,47.71246537261562
